lemma,pos,neg,score
1 korintus,0.0,0.0,0.0
1 tesalonika,0.0,0.0,0.0
1 timotius,0.0,0.0,0.0
1 yohanes,0.125,0.125,0.0
1tesalonika,0.0,0.0,0.0
2 korintus,0.0,0.0,0.0
2 tesalonika,0.0,0.0,0.0
2 timotius,0.0,0.0,0.0
2tesalonika,0.0,0.0,0.0
7 keajaiban dunia kuna,0.0,0.0,0.0
7 keajaiban dunia kuno,0.0,0.0,0.0
a,0.0,0.0,0.0
a. a. michelson,0.0,0.0,0.0
a. a. milne,0.0,0.0,0.0
a. conan doyle,0.0,0.0,0.0
a. e. burnside,0.0,0.0,0.0
a. e. housman,0.125,0.0,0.125
a. e. kennelly,0.0,0.0,0.0
a. e. w. mason,0.0,0.0,0.0
a. noam chomsky,0.0,0.0,0.0
a.e.,0.0,0.0,0.0
a.f. huxley,0.0,0.0,0.0
aachen,0.0,0.0,0.0
aalborg,0.0,0.0,0.0
aalst,0.0,0.0,0.0
"aalst, belgia",0.0,0.0,0.0
aalto,0.0,0.0,0.0
aarhus,0.0,0.0,0.0
aaron,0.0,0.0,0.0
aaron burr,0.0,0.0,0.0
aaron copland,0.0,0.0,0.0
aaron montgomery ward,0.0,0.0,0.0
ab,0.0,0.0,0.0
aba,0.0,0.0,0.0
abad,0.125,0.0,0.125
abad pertengahan,0.0,0.0,0.0
abadan,0.0,0.0,0.0
abadi,0.0,0.625,-0.625
abah,0.0,0.0,0.0
abah-abah,0.0,0.0,0.0
abai,0.125,0.0,0.125
abakus,0.0,0.0,0.0
abalon,0.0,0.0,0.0
abang,0.375,0.0,0.375
abbott lawrence lowell,0.0,0.0,0.0
abdi,0.0,0.375,-0.375
abdias,0.0,0.25,-0.25
abdomen,0.0,0.0,0.0
abduktor,0.0,0.0,0.0
abdul nasser,0.0,0.0,0.0
abel,0.0,0.0,0.0
abel janszoon tasman,0.0,0.0,0.0
abel tasman,0.0,0.0,0.0
abelard,0.0,0.0,0.0
aberasi,0.375,0.0,0.375
aberdar,0.0,0.0,0.0
aberdare,0.0,0.0,0.0
"aberdare, wales",0.0,0.0,0.0
aberdeen,0.0,0.0,0.0
"aberdeen, washington",0.0,0.0,0.0
abidjan,0.0,0.0,0.0
abilene,0.0,0.0,0.0
abiogenesis,0.0,0.0,0.0
abis,0.0,0.0,0.0
abisal,0.0,0.0,0.0
abjad,0.0,0.0,0.0
abjad arab,0.0,0.0,0.0
abjad ibrani,0.0,0.0,0.0
abkhaz,0.0,0.0,0.0
abkhazia,0.0,0.0,0.0
ablasi,0.0,0.0,0.0
abnormal,0.0,0.75,-0.75
abnormalitas,0.25,0.0,0.25
abon,0.0,0.0,0.0
aborigin,0.0,0.0,0.0
abraham,0.0,0.0,0.0
abraham lincoln,0.0,0.0,0.0
abraham stoker,0.0,0.0,0.0
abras,0.0,0.625,-0.625
abrasi,0.0,0.125,-0.125
abruzzi,0.0,0.0,0.0
absah,0.125,0.0,0.125
absen,0.125,0.625,-0.5
abses,0.0,0.375,-0.375
absis,0.0,0.0,0.0
absolusi,0.0,0.0,0.0
absolut,0.5,0.0,0.5
absolutisme,0.0,0.25,-0.25
abstrak,0.125,0.0,0.125
abstraksi,0.0,0.0,0.0
absurd,0.625,0.0,0.625
abu,0.0,0.375,-0.375
abu dhabi,0.0,0.0,0.0
abu sayyaf,0.0,0.0,0.0
abu-abu,0.0,0.125,-0.125
abuja,0.0,0.0,0.0
abulia,0.0,0.0,0.0
aby moritz warburg,0.0,0.0,0.0
aby warburg,0.0,0.0,0.0
abydos,0.0,0.0,0.0
"abydos, mesir",0.0,0.0,0.0
abyssinia,0.0,0.0,0.0
academy award,0.0,0.0,0.0
academy awards,0.0,0.0,0.0
acadia,0.0,0.0,0.0
acah,0.0,0.125,-0.125
acak,0.125,0.0,0.125
acak-acakan,0.0,0.75,-0.75
acang,0.0,0.0,0.0
acanthaceae,0.0,0.0,0.0
acanthocephala,0.0,0.0,0.0
acap,0.0,0.0,0.0
acapulco,0.0,0.0,0.0
acar,0.0,0.0,0.0
acara,0.0,0.0,0.0
accho,0.0,0.0,0.0
accra,0.0,0.0,0.0
acheron,0.0,0.0,0.0
acheson,0.0,0.0,0.0
achille ambrogio damiano ratti,0.0,0.0,0.0
achille ratti,0.0,0.0,0.0
achilles,0.0,0.0,0.0
achilleus,0.0,0.0,0.0
achmad sukarno,0.0,0.0,0.0
aci,0.0,0.0,0.0
aco-acoan,0.0,0.375,-0.375
aconcagua,0.0,0.0,0.0
aconitum,0.0,0.0,0.0
acorales,0.0,0.0,0.0
